観測所番号,観測所名,ｶﾀｶﾅ名,緯度,経度,標高,正式名称,都道府県,市町村
14157,手稲山,ﾃｲﾈﾔﾏ,43.083,141.202,568,手稲山アメダス,北海道,札幌市
14163,札幌,ｻｯﾎﾟﾛ,43.06,141.328,17,札幌管区気象台,北海道,札幌市
14191,小金湯,ｺｶﾞﾈﾕ,42.963,141.217,230,小金湯アメダス,北海道,札幌市
14206,恵庭島松,ｴﾆﾜｼﾏﾏﾂ,42.927,141.565,30,恵庭島松アメダス,北海道,恵庭市
14286,支笏湖畔,ｼｺﾂｺﾊﾝ,42.772,141.407,290,支笏湖畔アメダス,北海道,千歳市
14296,千歳,ﾁﾄｾ,42.775,141.692,22,新千歳航空測候所,北海道,千歳市
15041,朱鞠内,ｼｭﾏﾘﾅｲ,44.282,142.162,255,朱鞠内アメダス,北海道,雨竜郡幌加内町
15076,幌加内,ﾎﾛｶﾅｲ,44.01,142.16,159,幌加内アメダス,北海道,雨竜郡幌加内町
15116,石狩沼田,ｲｼｶﾘﾇﾏﾀ,43.815,141.927,63,石狩沼田アメダス,北海道,雨竜郡沼田町
15156,秩父別,ﾁｯﾌﾟﾍﾞﾂ,43.78,141.962,51,秩父別アメダス,北海道,雨竜郡秩父別町
15161,深川,ﾌｶｶﾞﾜ,43.718,142.073,55,深川アメダス,北海道,深川市
15197,雨竜,ｳﾘｭｳ,43.66,141.892,42,雨竜アメダス,北海道,雨竜郡雨竜町
15216,新城,ｼﾝｼﾞｮｳ,43.612,142.203,147,新城アメダス,北海道,芦別市
15231,空知吉野,ｿﾗﾁﾖｼﾉ,43.595,141.732,100,空知吉野アメダス,北海道,樺戸郡新十津川町
15241,滝川,ﾀｷｶﾜ,43.57,141.938,50,滝川アメダス,北海道,滝川市
15247,赤平,ｱｶﾋﾞﾗ,43.553,142.067,120,赤平アメダス,北海道,赤平市
15251,芦別,ｱｼﾍﾞﾂ,43.52,142.19,91,芦別アメダス,北海道,芦別市
15276,浦臼,ｳﾗｳｽ,43.428,141.808,25,浦臼アメダス,北海道,樺戸郡浦臼町
15311,月形,ﾂｷｶﾞﾀ,43.33,141.617,50,月形アメダス,北海道,樺戸郡月形町
15321,美唄,ﾋﾞﾊﾞｲ,43.363,141.827,16,美唄アメダス,北海道,美唄市
15356,岩見沢,ｲﾜﾐｻﾞﾜ,43.212,141.785,42,岩見沢特別地域気象観測所,北海道,岩見沢市
15391,栗沢,ｸﾘｻﾜ,43.122,141.745,20,栗沢アメダス,北海道,岩見沢市
15431,長沼,ﾅｶﾞﾇﾏ,43.012,141.693,13,長沼アメダス,北海道,夕張郡長沼町
15442,夕張,ﾕｳﾊﾞﾘ,43.038,141.957,293,夕張アメダス,北海道,夕張市
15451,鹿島,ｶｼﾏ,43.08,142.1,310,鹿島アメダス,北海道,夕張市
15491,沼の沢,ﾇﾏﾉｻﾜ,42.96,142.02,161,沼の沢アメダス,北海道,夕張市
16026,美国,ﾋﾞｸﾆ,43.272,140.563,75,美国アメダス,北海道,積丹郡積丹町
16061,神恵内,ｶﾓｴﾅｲ,43.145,140.423,50,神恵内アメダス,北海道,古宇郡神恵内村
16076,余市,ﾖｲﾁ,43.182,140.758,20,余市アメダス,北海道,余市郡余市町
16091,小樽,ｵﾀﾙ,43.182,141.015,25,小樽特別地域気象観測所,北海道,小樽市
16126,赤井川,ｱｶｲｶﾞﾜ,43.083,140.82,148,赤井川アメダス,北海道,余市郡赤井川村
16156,共和,ｷｮｳﾜ,42.98,140.603,15,共和アメダス,北海道,岩内郡共和町
16206,蘭越,ﾗﾝｺｼ,42.81,140.542,39,蘭越アメダス,北海道,磯谷郡蘭越町
16217,倶知安,ｸｯﾁｬﾝ,42.9,140.757,176,倶知安特別地域気象観測所,北海道,虻田郡倶知安町
16252,寿都,ｽｯﾂ,42.795,140.223,33,寿都特別地域気象観測所,北海道,寿都郡寿都町
16272,ニセコ,ﾆｾｺ,42.778,140.667,113,ニセコアメダス,北海道,虻田郡ニセコ町
16281,真狩,ﾏｯｶﾘ,42.775,140.88,440,真狩アメダス,北海道,虻田郡真狩村
16286,喜茂別,ｷﾓﾍﾞﾂ,42.793,140.948,264,喜茂別アメダス,北海道,虻田郡喜茂別町
