観測所番号,観測所名,ｶﾀｶﾅ名,緯度,経度,標高,正式名称,都道府県,市町村
31721,三戸,ｻﾝﾉﾍ,40.383,141.257,60,三戸アメダス,青森県,三戸郡三戸町
32056,八森,ﾊﾁﾓﾘ,40.413,139.948,34,八森アメダス,秋田県,山本郡八峰町
32071,藤里,ﾌｼﾞｻﾄ,40.32,140.293,68,藤里アメダス,秋田県,山本郡藤里町
32091,陣場,ｼﾞﾝﾊﾞ,40.415,140.61,218,陣場アメダス,秋田県,大館市
32096,藤原,ﾌｼﾞﾜﾗ,40.353,140.78,280,藤原アメダス,秋田県,鹿角郡小坂町
32111,能代,ﾉｼﾛ,40.198,140.032,6,能代アメダス,秋田県,能代市
32126,鷹巣,ﾀｶﾉｽ,40.227,140.372,29,鷹巣アメダス,秋田県,北秋田市
32136,大館,ｵｵﾀﾞﾃ,40.252,140.505,49,大館アメダス,秋田県,大館市
32146,鹿角,ｶﾂﾞﾉ,40.215,140.787,123,鹿角アメダス,秋田県,鹿角市
32181,脇神,ﾜｷｶﾞﾐ,40.192,140.372,84,大館能代航空気象観測所,秋田県,北秋田市
32206,湯瀬,ﾕｾﾞ,40.12,140.84,214,湯瀬アメダス,秋田県,鹿角市
32266,八幡平,ﾊﾁﾏﾝﾀｲ,40.013,140.802,578,八幡平アメダス,秋田県,鹿角市
32276,男鹿真山,ｵｶﾞｼﾝｻﾞﾝ,39.938,139.782,84,男鹿真山アメダス,秋田県,男鹿市
32286,男鹿,ｵｶﾞ,39.912,139.9,20,男鹿アメダス,秋田県,男鹿市
32287,大潟,ｵｵｶﾞﾀ,40,139.95,-3,大潟アメダス,秋田県,南秋田郡大潟村
32296,五城目,ｺﾞｼﾞｮｳﾒ,39.938,140.115,6,五城目アメダス,秋田県,南秋田郡五城目町
32311,阿仁合,ｱﾆｱｲ,39.993,140.403,120,阿仁合アメダス,秋田県,北秋田市
32312,比立内,ﾋﾀﾁﾅｲ,39.903,140.45,210,比立内アメダス,秋田県,北秋田市
32376,桧木内,ﾋﾉｷﾅｲ,39.812,140.585,255,桧木内アメダス,秋田県,仙北市
32402,秋田,ｱｷﾀ,39.717,140.098,6,秋田地方気象台,秋田県,秋田市
32407,岩見三内,ｲﾜﾐｻﾝﾅｲ,39.707,140.287,41,岩見三内アメダス,秋田県,秋田市
32408,仁別,ﾆﾍﾞﾂ,39.8,140.217,179,仁別アメダス,秋田県,秋田市
32426,鎧畑,ﾖﾛｲﾊﾞﾀ,39.775,140.665,281,鎧畑アメダス,秋田県,仙北市
32431,田沢湖高原,ﾀｻﾞﾜｺｺｳｹﾞﾝ,39.778,140.762,652,田沢湖高原アメダス,秋田県,仙北市
32451,雄和,ﾕｳﾜ,39.615,140.218,93,秋田航空気象観測所,秋田県,秋田市
32466,角館,ｶｸﾉﾀﾞﾃ,39.603,140.557,56,角館アメダス,秋田県,仙北市
32476,田沢湖,ﾀｻﾞﾜｺ,39.698,140.732,230,田沢湖アメダス,秋田県,仙北市
32496,大正寺,ﾀﾞｲｼｮｳｼﾞ,39.527,140.233,20,大正寺アメダス,秋田県,秋田市
32551,大曲,ｵｵﾏｶﾞﾘ,39.49,140.495,30,大曲アメダス,秋田県,大仙市
32571,本荘,ﾎﾝｼﾞｮｳ,39.36,140.055,11,本荘アメダス,秋田県,由利本荘市
32581,東由利,ﾋｶﾞｼﾕﾘ,39.305,140.288,117,東由利アメダス,秋田県,由利本荘市
32596,横手,ﾖｺﾃ,39.32,140.555,59,横手アメダス,秋田県,横手市
32616,にかほ,ﾆｶﾎ,39.255,139.913,7,にかほアメダス,秋田県,にかほ市
32626,矢島,ﾔｼﾏ,39.235,140.137,46,矢島アメダス,秋田県,由利本荘市
32681,笹子,ｼﾞﾈｺﾞ,39.102,140.287,223,笹子アメダス,秋田県,由利本荘市
32691,湯沢,ﾕｻﾞﾜ,39.187,140.463,74,湯沢アメダス,秋田県,湯沢市
32701,東成瀬,ﾋｶﾞｼﾅﾙｾ,39.178,140.648,191,東成瀬アメダス,秋田県,雄勝郡東成瀬村
32771,湯の岱,ﾕﾉﾀｲ,38.96,140.528,335,湯の岱アメダス,秋田県,湯沢市
33006,種市,ﾀﾈｲﾁ,40.403,141.7,70,種市アメダス,岩手県,九戸郡洋野町種市
33026,軽米,ｶﾙﾏｲ,40.325,141.467,148,軽米アメダス,岩手県,九戸郡軽米町
33071,二戸,ﾆﾉﾍ,40.298,141.298,87,二戸アメダス,岩手県,二戸市
33086,大野,ｵｵﾉ,40.282,141.667,200,大野アメダス,岩手県,九戸郡洋野町
33136,山形,ﾔﾏｶﾞﾀ,40.148,141.572,290,山形アメダス,岩手県,久慈市
33146,久慈,ｸｼﾞ,40.168,141.748,13,久慈アメダス,岩手県,久慈市
33166,荒屋,ｱﾗﾔ,40.103,141.05,290,荒屋アメダス,岩手県,八幡平市
33176,奥中山,ｵｸﾅｶﾔﾏ,40.06,141.225,430,奥中山アメダス,岩手県,二戸郡一戸町
33186,葛巻,ｸｽﾞﾏｷ,40.04,141.457,418,葛巻アメダス,岩手県,岩手郡葛巻町
33201,下戸鎖,ｼﾓﾄｸｻﾘ,40.085,141.712,232,下戸鎖アメダス,岩手県,久慈市
33206,普代,ﾌﾀﾞｲ,40.003,141.883,8,普代アメダス,岩手県,下閉伊郡普代村
33226,岩手松尾,ｲﾜﾃﾏﾂｵ,39.952,141.065,275,岩手松尾アメダス,岩手県,八幡平市
33231,一方井,ｲｯｶﾀｲ,39.973,141.167,285,一方井アメダス,岩手県,岩手郡岩手町
33296,好摩,ｺｳﾏ,39.868,141.167,205,好摩アメダス,岩手県,盛岡市
33326,岩泉,ｲﾜｲｽﾞﾐ,39.847,141.795,105,岩泉アメダス,岩手県,下閉伊郡岩泉町
33336,小本,ｵﾓﾄ,39.847,141.963,3,小本アメダス,岩手県,下閉伊郡岩泉町
33351,葛根田,ｶｯｺﾝﾀﾞ,39.777,140.945,350,葛根田アメダス,岩手県,岩手郡雫石町
33361,滝沢,ﾀｷｻﾞﾜ,39.78,141.097,210,滝沢アメダス,岩手県,滝沢市
33371,薮川,ﾔﾌﾞｶﾜ,39.783,141.328,680,薮川アメダス,岩手県,盛岡市
33421,雫石,ｼｽﾞｸｲｼ,39.697,140.975,195,雫石アメダス,岩手県,岩手郡雫石町
33431,盛岡,ﾓﾘｵｶ,39.698,141.165,155,盛岡地方気象台,岩手県,盛岡市
33441,区界,ｸｻﾞｶｲ,39.65,141.353,734,区界アメダス,岩手県,宮古市
33472,宮古,ﾐﾔｺ,39.647,141.965,43,宮古特別地域気象観測所,岩手県,宮古市
33486,沢内,ｻﾜｳﾁ,39.548,140.843,407,沢内アメダス,岩手県,和賀郡西和賀町
33501,紫波,ｼﾜ,39.547,141.127,125,紫波アメダス,岩手県,紫波郡紫波町
33526,川井,ｶﾜｲ,39.598,141.682,192,川井アメダス,岩手県,宮古市
33566,豊沢,ﾄﾖｻﾜ,39.48,140.968,300,豊沢アメダス,岩手県,花巻市
33576,花巻,ﾊﾅﾏｷ,39.428,141.135,90,花巻航空気象観測所,岩手県,花巻市
33581,大迫,ｵｵﾊｻﾏ,39.47,141.278,150,大迫アメダス,岩手県,花巻市
33596,附馬牛,ﾂｷﾓｳｼ,39.457,141.507,440,附馬牛アメダス,岩手県,遠野市
33611,大槌,ｵｵﾂﾁ,39.438,141.807,120,大槌アメダス,岩手県,上閉伊郡大槌町
33616,山田,ﾔﾏﾀﾞ,39.45,141.957,24,山田アメダス,岩手県,下閉伊郡山田町
33631,湯田,ﾕﾀﾞ,39.31,140.777,250,湯田アメダス,岩手県,和賀郡西和賀町
33671,遠野,ﾄｵﾉ,39.338,141.543,275,遠野アメダス,岩手県,遠野市
33711,金ケ崎,ｶﾈｶﾞｻｷ,39.225,141.015,170,金ケ崎アメダス,岩手県,胆沢郡金ケ崎町
33716,北上,ｷﾀｶﾐ,39.288,141.11,61,北上アメダス,岩手県,北上市
33726,米里,ﾖﾈｻﾄ,39.233,141.31,170,米里アメダス,岩手県,奥州市
33751,釜石,ｶﾏｲｼ,39.27,141.878,5,釜石アメダス,岩手県,釜石市
33776,若柳,ﾜｶﾔﾅｷﾞ,39.14,141.063,97,若柳アメダス,岩手県,奥州市
33781,江刺,ｴｻｼ,39.183,141.162,42,江刺アメダス,岩手県,奥州市
33801,住田,ｽﾐﾀ,39.142,141.573,80,住田アメダス,岩手県,気仙郡住田町
33831,祭畤,ﾏﾂﾙﾍﾞ,39.012,140.865,350,祭畤アメダス,岩手県,一関市
33841,衣川,ｺﾛﾓｶﾞﾜ,39.05,141.045,75,衣川アメダス,岩手県,奥州市
33856,大東,ﾀﾞｲﾄｳ,39.038,141.297,140,大東アメダス,岩手県,一関市
33877,大船渡,ｵｵﾌﾅﾄ,39.063,141.713,37,大船渡特別地域気象観測所,岩手県,大船渡市
33911,一関,ｲﾁﾉｾｷ,38.933,141.125,32,一関アメダス,岩手県,一関市
33921,千厩,ｾﾝﾏﾔ,38.922,141.33,120,千厩アメダス,岩手県,一関市
34012,駒ノ湯,ｺﾏﾉﾕ,38.913,140.828,532,駒ノ湯アメダス,宮城県,栗原市
34026,気仙沼,ｹｾﾝﾇﾏ,38.907,141.557,62,気仙沼アメダス,宮城県,気仙沼市
34056,鴬沢,ｳｸﾞｲｽｻﾞﾜ,38.805,140.948,33,鴬沢アメダス,宮城県,栗原市
34096,川渡,ｶﾜﾀﾋﾞ,38.743,140.76,170,川渡アメダス,宮城県,大崎市
34111,築館,ﾂｷﾀﾞﾃ,38.735,141.005,25,築館アメダス,宮城県,栗原市
34171,米山,ﾖﾈﾔﾏ,38.625,141.187,4,米山アメダス,宮城県,登米市
34186,志津川,ｼﾂﾞｶﾞﾜ,38.682,141.448,39,志津川アメダス,宮城県,本吉郡南三陸町
34206,加美,ｶﾐ,38.572,140.727,195,加美アメダス,宮城県,加美郡加美町
34216,古川,ﾌﾙｶﾜ,38.598,140.912,28,古川アメダス,宮城県,大崎市
34241,雄勝,ｵｶﾞﾂ,38.52,141.465,24,雄勝アメダス,宮城県,石巻市
34262,泉ケ岳,ｲｽﾞﾐｶﾞﾀﾞｹ,38.407,140.722,630,泉ケ岳アメダス,宮城県,仙台市
34266,大衡,ｵｵﾋﾗ,38.473,140.888,57,大衡アメダス,宮城県,黒川郡大衡村
34276,鹿島台,ｶｼﾏﾀﾞｲ,38.46,141.092,3,鹿島台アメダス,宮城県,大崎市
34292,石巻,ｲｼﾉﾏｷ,38.427,141.298,43,石巻特別地域気象観測所,宮城県,石巻市
34296,女川,ｵﾅｶﾞﾜ,38.447,141.45,38,女川アメダス,宮城県,牡鹿郡女川町
34311,新川,ﾆｯｶﾜ,38.303,140.637,265,新川アメダス,宮城県,仙台市
34331,塩釜,ｼｵｶﾞﾏ,38.338,141.013,105,塩釜アメダス,宮城県,塩竈市
34392,仙台,ｾﾝﾀﾞｲ,38.262,140.897,39,仙台管区気象台,宮城県,仙台市
34436,名取,ﾅﾄﾘ,38.138,140.917,2,仙台航空気象観測所,宮城県,名取市
34461,白石,ｼﾛｲｼ,38.015,140.612,86,白石アメダス,宮城県,白石市
34462,蔵王,ｻﾞｵｳ,38.127,140.68,112,蔵王アメダス,宮城県,刈田郡蔵王町
34471,亘理,ﾜﾀﾘ,38.025,140.858,4,亘理アメダス,宮城県,亘理郡亘理町
34506,丸森,ﾏﾙﾓﾘ,37.932,140.778,18,丸森アメダス,宮城県,伊具郡丸森町
34526,筆甫,ﾋｯﾎﾟ,37.827,140.728,305,筆甫アメダス,宮城県,伊具郡丸森町
35002,飛島,ﾄﾋﾞｼﾏ,39.183,139.543,58,飛島アメダス,山形県,酒田市
35052,酒田,ｻｶﾀ,38.908,139.843,3,酒田特別地域気象観測所,山形県,酒田市
35056,酒田大沢,ｻｶﾀｵｵｻﾜ,38.965,139.998,65,酒田大沢アメダス,山形県,酒田市
35071,差首鍋,ｻｽﾅﾍﾞ,38.918,140.2,88,差首鍋アメダス,山形県,最上郡真室川町
35086,浜中,ﾊﾏﾅｶ,38.812,139.787,22,庄内航空気象観測所,山形県,酒田市
35116,金山,ｶﾈﾔﾏ,38.878,140.332,170,金山アメダス,山形県,最上郡金山町
35141,鶴岡,ﾂﾙｵｶ,38.735,139.828,16,鶴岡アメダス,山形県,鶴岡市
35146,狩川,ｶﾘｶﾜ,38.8,139.973,17,狩川アメダス,山形県,東田川郡庄内町
35162,新庄,ｼﾝｼﾞｮｳ,38.757,140.312,105,新庄特別地域気象観測所,山形県,新庄市
35171,瀬見,ｾﾐ,38.755,140.413,150,瀬見アメダス,山形県,最上郡最上町
35176,向町,ﾑｶｲﾏﾁ,38.758,140.517,212,向町アメダス,山形県,最上郡最上町
35201,櫛引,ｸｼﾋﾞｷ,38.672,139.848,33,櫛引アメダス,山形県,鶴岡市
35216,肘折,ﾋｼﾞｵﾘ,38.607,140.163,330,肘折アメダス,山形県,最上郡大蔵村
35231,尾花沢,ｵﾊﾞﾅｻﾞﾜ,38.608,140.412,106,尾花沢アメダス,山形県,尾花沢市
35246,鼠ケ関,ﾈｽﾞｶﾞｾｷ,38.567,139.552,18,鼠ケ関アメダス,山形県,鶴岡市
35256,荒沢,ｱﾗｻﾜ,38.508,139.782,272,荒沢アメダス,山形県,鶴岡市
35332,村山,ﾑﾗﾔﾏ,38.46,140.348,80,村山アメダス,山形県,村山市
35334,東根,ﾋｶﾞｼﾈ,38.412,140.37,105,山形航空気象観測所,山形県,東根市
35361,大井沢,ｵｵｲｻﾜ,38.39,139.993,440,大井沢アメダス,山形県,西村山郡西川町
35376,左沢,ｱﾃﾗｻﾞﾜ,38.37,140.192,133,左沢アメダス,山形県,西村山郡大江町
35426,山形,ﾔﾏｶﾞﾀ,38.255,140.345,153,山形地方気象台,山形県,山形市
35456,長井,ﾅｶﾞｲ,38.105,140.015,210,長井アメダス,山形県,長井市
35466,上山中山,ｶﾐﾉﾔﾏﾅｶﾔﾏ,38.117,140.213,270,上山中山アメダス,山形県,上山市
35486,小国,ｵｸﾞﾆ,38.078,139.735,140,小国アメダス,山形県,西置賜郡小国町
35511,高畠,ﾀｶﾊﾀ,38.003,140.207,220,高畠アメダス,山形県,東置賜郡高畠町
35537,中津川,ﾅｶﾂｶﾞﾜ,37.91,139.843,390,中津川アメダス,山形県,西置賜郡飯豊町
35541,高峰,ﾀｶﾐﾈ,37.99,139.953,260,高峰アメダス,山形県,西置賜郡飯豊町
35552,米沢,ﾖﾈｻﾞﾜ,37.912,140.143,245,米沢アメダス,山形県,米沢市
36056,茂庭,ﾓﾆﾜ,37.892,140.437,200,茂庭アメダス,福島県,福島市
36066,梁川,ﾔﾅｶﾞﾜ,37.852,140.588,43,梁川アメダス,福島県,伊達市
36106,桧原,ﾋﾊﾞﾗ,37.722,140.058,824,桧原アメダス,福島県,耶麻郡北塩原村
36127,福島,ﾌｸｼﾏ,37.758,140.47,67,福島地方気象台,福島県,福島市
36151,相馬,ｿｳﾏ,37.783,140.925,9,相馬アメダス,福島県,相馬市
36176,喜多方,ｷﾀｶﾀ,37.658,139.863,212,喜多方アメダス,福島県,喜多方市
36196,鷲倉,ﾜｼｸﾗ,37.668,140.26,1220,鷲倉アメダス,福島県,福島市
36221,飯舘,ｲｲﾀﾃ,37.665,140.727,463,飯舘アメダス,福島県,相馬郡飯舘村
36231,原町,ﾊﾗﾏﾁ,37.638,140.983,17,原町アメダス,福島県,南相馬市
36251,西会津,ﾆｼｱｲﾂﾞ,37.588,139.657,165,西会津アメダス,福島県,耶麻郡西会津町
36276,猪苗代,ｲﾅﾜｼﾛ,37.552,140.108,519,猪苗代アメダス,福島県,耶麻郡猪苗代町
36291,二本松,ﾆﾎﾝﾏﾂ,37.583,140.43,235,二本松アメダス,福島県,二本松市
36307,津島,ﾂｼﾏ,37.56,140.753,400,津島アメダス,福島県,双葉郡浪江町
36342,金山,ｶﾈﾔﾏ,37.473,139.528,296,金山アメダス,福島県,大沼郡金山町
36361,若松,ﾜｶﾏﾂ,37.488,139.91,212,若松特別地域気象観測所,福島県,会津若松市
36391,船引,ﾌﾈﾋｷ,37.435,140.577,421,船引アメダス,福島県,田村市
36411,浪江,ﾅﾐｴ,37.492,140.965,43,浪江アメダス,福島県,双葉郡浪江町
36426,只見,ﾀﾀﾞﾐ,37.343,139.313,377,只見アメダス,福島県,南会津郡只見町
36461,湖南,ｺﾅﾝ,37.388,140.09,536,湖南アメダス,福島県,郡山市
36476,郡山,ｺｵﾘﾔﾏ,37.368,140.33,249,郡山アメダス,福島県,郡山市
36501,川内,ｶﾜｳﾁ,37.337,140.808,410,川内アメダス,福島県,双葉郡川内村
36511,富岡,ﾄﾐｵｶ,37.347,141.017,50,富岡アメダス,福島県,双葉郡富岡町
36536,南郷,ﾅﾝｺﾞｳ,37.265,139.537,494,南郷アメダス,福島県,南会津郡南会津町
36562,湯本,ﾕﾓﾄ,37.277,140.063,646,湯本アメダス,福島県,岩瀬郡天栄村
36571,長沼,ﾅｶﾞﾇﾏ,37.288,140.218,317,長沼アメダス,福島県,須賀川市
36581,玉川,ﾀﾏｶﾜ,37.227,140.427,372,福島航空気象観測所,福島県,石川郡玉川村
36591,小野新町,ｵﾉﾆｲﾏﾁ,37.287,140.625,433,小野新町アメダス,福島県,田村郡小野町
36597,川前,ｶﾜﾏｴ,37.247,140.723,492,川前アメダス,福島県,いわき市
36611,広野,ﾋﾛﾉ,37.233,141,43,広野アメダス,福島県,双葉郡広野町
36641,田島,ﾀｼﾞﾏ,37.207,139.795,544,田島アメダス,福島県,南会津郡南会津町
36667,白河,ｼﾗｶﾜ,37.132,140.215,355,白河特別地域気象観測所,福島県,白河市
36676,石川,ｲｼｶﾜ,37.147,140.46,290,石川アメダス,福島県,石川郡石川町
36716,桧枝岐,ﾋﾉｴﾏﾀ,37.01,139.375,973,桧枝岐アメダス,福島県,南会津郡檜枝岐村
36726,舘岩,ﾀﾃｲﾜ,37.092,139.532,690,舘岩アメダス,福島県,南会津郡南会津町
36781,平,ﾀｲﾗ,37.065,140.877,12,平アメダス,福島県,いわき市
36821,東白川,ﾋｶﾞｼｼﾗｶﾜ,36.938,140.408,183,東白川アメダス,福島県,東白川郡塙町
36836,山田,ﾔﾏﾀﾞ,36.933,140.733,25,山田アメダス,福島県,いわき市
36846,小名浜,ｵﾅﾊﾏ,36.947,140.903,3,小名浜特別地域気象観測所,福島県,いわき市
40041,花園,ﾊﾅｿﾞﾉ,36.868,140.637,370,花園アメダス,茨城県,北茨城市
40046,北茨城,ｷﾀｲﾊﾞﾗｷ,36.833,140.772,5,北茨城アメダス,茨城県,北茨城市
40061,大子,ﾀﾞｲｺﾞ,36.778,140.345,120,大子アメダス,茨城県,久慈郡大子町
40066,徳田,ﾄｸﾀﾞ,36.778,140.482,270,徳田アメダス,茨城県,常陸太田市
40076,大能,ｵｵﾉｳ,36.743,140.593,395,大能アメダス,茨城県,高萩市
40091,常陸大宮,ﾋﾀﾁｵｵﾐﾔ,36.607,140.325,95,常陸大宮アメダス,茨城県,常陸大宮市
40126,中野,ﾅｶﾉ,36.515,140.473,17,中野アメダス,茨城県,常陸太田市
40136,日立,ﾋﾀﾁ,36.58,140.645,34,日立アメダス,茨城県,日立市
40181,門井,ｶﾄﾞｲ,36.333,140.033,40,門井アメダス,茨城県,筑西市
40191,笠間,ｶｻﾏ,36.395,140.24,72,笠間アメダス,茨城県,笠間市
40201,水戸,ﾐﾄ,36.38,140.467,29,水戸地方気象台,茨城県,水戸市
40221,古河,ｺｶﾞ,36.202,139.717,20,古河アメダス,茨城県,古河市
40231,下館,ｼﾓﾀﾞﾃ,36.282,139.988,24,下館アメダス,茨城県,筑西市
40241,柿岡,ｶｷｵｶ,36.233,140.188,27,柿岡アメダス,茨城県,石岡市
40251,美野里,ﾐﾉﾘ,36.237,140.325,25,美野里アメダス,茨城県,小美玉市
40281,下妻,ｼﾓﾂﾏ,36.168,139.945,20,下妻アメダス,茨城県,下妻市
40311,鉾田,ﾎｺﾀ,36.168,140.527,32,鉾田アメダス,茨城県,鉾田市
40326,坂東,ﾊﾞﾝﾄﾞｳ,36.043,139.892,16,坂東アメダス,茨城県,坂東市
40336,つくば,ﾂｸﾊﾞ,36.057,140.125,25,高層気象台,茨城県,つくば市
40341,土浦,ﾂﾁｳﾗ,36.103,140.22,26,土浦アメダス,茨城県,土浦市
40391,江戸崎,ｴﾄﾞｻｷ,35.96,140.32,25,江戸崎アメダス,茨城県,稲敷市
40406,鹿嶋,ｶｼﾏ,35.963,140.622,37,鹿嶋アメダス,茨城県,鹿嶋市
40426,龍ケ崎,ﾘｭｳｶﾞｻｷ,35.89,140.212,4,龍ケ崎アメダス,茨城県,龍ケ崎市
41011,那須高原,ﾅｽｺｳｹﾞﾝ,37.123,140.035,749,那須高原アメダス,栃木県,那須郡那須町
41076,五十里,ｲｶﾘ,36.922,139.695,620,五十里アメダス,栃木県,日光市
41091,黒磯,ｸﾛｲｿ,36.982,140.018,343,黒磯アメダス,栃木県,那須塩原市
41116,土呂部,ﾄﾞﾛﾌﾞ,36.892,139.568,925,土呂部アメダス,栃木県,日光市
41141,大田原,ｵｵﾀﾜﾗ,36.84,140.035,188,大田原アメダス,栃木県,大田原市
41166,奥日光,ｵｸﾆｯｺｳ,36.738,139.5,1292,日光特別地域気象観測所,栃木県,日光市
41172,日光東町,ﾆｯｺｳﾋｶﾞｼﾏﾁ,36.75,139.615,561,日光東町アメダス,栃木県,日光市
41181,塩谷,ｼｵﾔ,36.757,139.883,225,塩谷アメダス,栃木県,塩谷郡塩谷町
41211,足尾,ｱｼｵ,36.647,139.448,650,足尾アメダス,栃木県,日光市
41241,高根沢,ﾀｶﾈｻﾞﾜ,36.607,139.998,148,高根沢アメダス,栃木県,塩谷郡高根沢町
41247,那須烏山,ﾅｽｶﾗｽﾔﾏ,36.642,140.117,82,那須烏山アメダス,栃木県,那須烏山市
41271,鹿沼,ｶﾇﾏ,36.592,139.735,165,鹿沼アメダス,栃木県,鹿沼市
41277,宇都宮,ｳﾂﾉﾐﾔ,36.548,139.868,119,宇都宮地方気象台,栃木県,宇都宮市
41311,葛生,ｸｽﾞｳ,36.432,139.59,120,葛生アメダス,栃木県,佐野市
41331,真岡,ﾓｵｶ,36.477,139.987,91,真岡アメダス,栃木県,真岡市
41356,足利,ｱｼｶｶﾞ,36.342,139.462,35,足利アメダス,栃木県,足利市
41361,佐野,ｻﾉ,36.363,139.57,68,佐野アメダス,栃木県,佐野市
41371,栃木,ﾄﾁｷﾞ,36.373,139.703,65,栃木アメダス,栃木県,栃木市
41376,小山,ｵﾔﾏ,36.338,139.83,44,小山アメダス,栃木県,小山市
42046,藤原,ﾌｼﾞﾜﾗ,36.863,139.058,700,藤原アメダス,群馬県,利根郡みなかみ町
42091,みなかみ,ﾐﾅｶﾐ,36.773,138.965,524,みなかみアメダス,群馬県,利根郡みなかみ町
42106,片品,ｶﾀｼﾅ,36.772,139.238,861,片品アメダス,群馬県,利根郡片品村
42121,草津,ｸｻﾂ,36.617,138.592,1223,草津アメダス,群馬県,吾妻郡草津町
42146,沼田,ﾇﾏﾀ,36.668,139.022,390,沼田アメダス,群馬県,沼田市
42186,中之条,ﾅｶﾉｼﾞｮｳ,36.587,138.85,354,中之条アメダス,群馬県,吾妻郡中之条町
42221,田代,ﾀｼﾛ,36.463,138.463,1230,田代アメダス,群馬県,吾妻郡嬬恋村
42241,榛名山,ﾊﾙﾅｻﾝ,36.472,138.873,1088,榛名山アメダス,群馬県,高崎市
42251,前橋,ﾏｴﾊﾞｼ,36.405,139.06,112,前橋地方気象台,群馬県,前橋市
42261,黒保根,ｸﾛﾎﾈ,36.502,139.283,285,黒保根アメダス,群馬県,桐生市
42266,桐生,ｷﾘｭｳ,36.41,139.325,117,桐生アメダス,群馬県,桐生市
42286,上里見,ｶﾐｻﾄﾐ,36.377,138.895,183,上里見アメダス,群馬県,高崎市
42302,伊勢崎,ｲｾｻｷ,36.332,139.165,64,伊勢崎アメダス,群馬県,伊勢崎市
42326,西野牧,ﾆｼﾉﾏｷ,36.245,138.707,375,西野牧アメダス,群馬県,甘楽郡下仁田町
42341,藤岡,ﾌｼﾞｵｶ,36.242,139.07,95,藤岡アメダス,群馬県,藤岡市
42366,館林,ﾀﾃﾊﾞﾔｼ,36.24,139.513,23,館林アメダス,群馬県,館林市
42396,神流,ｶﾝﾅ,36.108,138.897,357,神流アメダス,群馬県,多野郡神流町
43051,寄居,ﾖﾘｲ,36.105,139.183,128,寄居アメダス,埼玉県,大里郡寄居町
43056,熊谷,ｸﾏｶﾞﾔ,36.15,139.38,30,熊谷地方気象台,埼玉県,熊谷市
43091,上吉田,ｶﾐﾖｼﾀﾞ,36.053,138.98,275,上吉田アメダス,埼玉県,秩父市
43121,鴻巣,ｺｳﾉｽ,36.065,139.522,15,鴻巣アメダス,埼玉県,鴻巣市
43126,久喜,ｸｷ,36.087,139.635,12,久喜アメダス,埼玉県,久喜市
43151,三峰,ﾐﾂﾐﾈ,35.927,138.923,975,三峰アメダス,埼玉県,秩父市
43156,秩父,ﾁﾁﾌﾞ,35.99,139.073,232,秩父特別地域気象観測所,埼玉県,秩父市
43157,浦山,ｳﾗﾔﾏ,35.92,139.07,400,浦山アメダス,埼玉県,秩父市
43162,ときがわ,ﾄｷｶﾞﾜ,35.99,139.207,295,ときがわアメダス,埼玉県,比企郡ときがわ町
43171,鳩山,ﾊﾄﾔﾏ,35.985,139.335,44,鳩山アメダス,埼玉県,比企郡鳩山町
43231,飯能,ﾊﾝﾉｳ,35.838,139.322,84,飯能アメダス,埼玉県,飯能市
43241,さいたま,ｻｲﾀﾏ,35.875,139.587,8,さいたまアメダス,埼玉県,さいたま市
43256,越谷,ｺｼｶﾞﾔ,35.883,139.757,3,越谷アメダス,埼玉県,越谷市
43266,所沢,ﾄｺﾛｻﾞﾜ,35.773,139.413,119,所沢アメダス,埼玉県,所沢市
44046,小河内,ｵｺﾞｳﾁ,35.792,139.05,530,小河内アメダス,東京都,西多摩郡奥多摩町
44051,小沢,ｵｻﾞﾜ,35.735,139.123,420,小沢アメダス,東京都,西多摩郡檜原村
44056,青梅,ｵｳﾒ,35.788,139.312,155,青梅アメダス,東京都,青梅市
44071,練馬,ﾈﾘﾏ,35.738,139.592,51,練馬アメダス,東京都,練馬区
44112,八王子,ﾊﾁｵｳｼﾞ,35.667,139.317,123,八王子アメダス,東京都,八王子市
44116,府中,ﾌﾁｭｳ,35.683,139.483,59,府中アメダス,東京都,府中市
44126,世田谷,ｾﾀｶﾞﾔ,35.627,139.62,35,世田谷アメダス,東京都,世田谷区
44132,東京,ﾄｳｷｮｳ,35.692,139.75,25,東京管区気象台,東京都,千代田区
44136,江戸川臨海,ｴﾄﾞｶﾞﾜﾘﾝｶｲ,35.638,139.863,5,江戸川臨海アメダス,東京都,江戸川区臨海町
44166,羽田,ﾊﾈﾀﾞ,35.553,139.78,6,東京航空地方気象台,東京都,大田区
44172,大島,ｵｵｼﾏ,34.748,139.362,74,大島特別地域気象観測所,東京都,大島町
44173,大島北ノ山,ｵｵｼﾏｷﾀﾉﾔﾏ,34.782,139.36,38,大島航空気象観測所,東京都,大島町
44191,利島,ﾄｼﾏ,34.528,139.282,100,利島アメダス,東京都,利島村
44207,新島,ﾆｲｼﾞﾏ,34.368,139.268,29,新島航空気象観測所,東京都,新島村
44216,神津島,ｺｳﾂﾞｼﾏ,34.188,139.133,138,神津島航空気象観測所,東京都,神津島村
44226,三宅島,ﾐﾔｹｼﾞﾏ,34.123,139.52,38,三宅島特別地域気象観測所,東京都,三宅村
44228,三宅坪田,ﾐﾔｹﾂﾎﾞﾀ,34.073,139.56,20,三宅島航空気象観測所,東京都,三宅村
