番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
15241,滝川　　　　　　　　,43.57,141.938,50,30,310,282,297,154,11,0,0,0,0,25,191,302,1573
15251,芦別　　　　　　　　,43.52,142.19,91,30,309,283,297,159,9,0,0,0,0,22,195,302,1576
15311,月形　　　　　　　　,43.33,141.617,50,30,309,281,295,171,16,0,0,0,0,22,187,300,1580
15321,美唄　　　　　　　　,43.363,141.827,16,30,309,281,294,144,6,0,0,0,0,20,183,301,1534
15356,岩見沢　　　　　　　,43.212,141.785,42,30,309,280,281,104,3,0,0,0,0,5,148,294,1425
15431,長沼　　　　　　　　,43.012,141.693,13,30,309,281,280,115,4,0,0,0,0,14,172,295,1469
15442,夕張　　　　　　　　,43.038,141.957,293,30,310,282,294,170,18,0,0,0,0,37,218,302,1631
16026,美国　　　　　　　　,43.272,140.563,75,30,307,277,269,125,9,0,0,0,0,11,168,293,1459
16061,神恵内　　　　　　　,43.145,140.423,50,30,297,256,206,22,0,0,0,0,0,0,66,247,1099
16076,余市　　　　　　　　,43.182,140.758,20,30,305,275,264,111,4,0,0,0,0,11,158,289,1417
16091,小樽　　　　　　　　,43.182,141.015,25,30,304,274,244,42,0,0,0,0,0,0,97,274,1235
16156,共和　　　　　　　　,42.98,140.603,15,30,302,275,256,95,3,0,0,0,0,5,108,273,1317
16206,蘭越　　　　　　　　,42.81,140.542,39,30,307,280,281,161,11,0,0,0,0,22,179,295,1536
16217,倶知安　　　　　　　,42.9,140.757,176,30,309,280,284,139,8,0,0,0,0,35,188,296,1539
16252,寿都　　　　　　　　,42.795,140.223,33,30,299,267,225,42,0,0,0,0,0,0,74,252,1160
16281,真狩　　　　　　　　,42.775,140.88,440,30,310,281,298,183,15,0,0,0,0,33,206,303,1630
16286,喜茂別　　　　　　　,42.793,140.948,264,30,310,281,301,218,51,1,0,0,3,99,244,304,1812
16321,黒松内　　　　　　　,42.663,140.31,27,30,307,278,278,162,25,0,0,0,0,47,202,298,1598
17036,雄武　　　　　　　　,44.58,142.963,14,30,309,282,294,181,42,2,0,0,0,22,195,299,1626
17076,興部　　　　　　　　,44.47,143.108,8,30,310,282,300,199,52,4,0,0,0,46,211,303,1707
17091,西興部　　　　　　　,44.332,142.935,120,30,310,281,303,220,60,3,0,0,2,82,222,308,1790
17112,紋別　　　　　　　　,44.345,143.355,16,30,309,282,291,131,9,0,0,0,0,5,153,296,1477
17116,紋別小向　　　　　　,44.303,143.403,18,18,309,282,299,177,23,0,0,0,0,22,184,299,1594
17166,湧別　　　　　　　　,44.213,143.618,5,30,309,282,302,176,20,0,0,0,0,17,191,300,1598
17196,滝上　　　　　　　　,44.177,143.062,165,30,310,282,303,227,64,2,0,0,3,89,226,308,1813
17246,常呂　　　　　　　　,44.115,144.037,3,30,309,282,301,183,27,1,0,0,0,23,186,298,1610
17306,遠軽　　　　　　　　,44.053,143.54,80,30,310,282,304,206,37,1,0,0,0,66,235,305,1740
17316,佐呂間　　　　　　　,44.018,143.76,54,30,308,282,305,218,52,2,0,0,1,75,241,306,1791
17341,網走　　　　　　　　,44.017,144.278,38,30,309,282,291,139,9,0,0,0,0,4,136,292,1462
17351,宇登呂　　　　　　　,44.052,144.982,144,30,310,282,293,181,36,1,0,0,0,6,147,297,1553
17482,白滝　　　　　　　　,43.865,143.153,475,28,310,282,303,221,49,2,0,0,1,70,238,310,1792
17501,生田原　　　　　　　,43.917,143.532,199,30,310,283,307,234,59,2,0,0,2,109,252,308,1866
17521,北見　　　　　　　　,43.777,143.842,104,30,309,282,300,186,22,0,0,0,0,48,227,305,1679
17531,女満別　　　　　　　,43.88,144.163,33,18,309,281,300,196,23,0,0,0,0,48,217,304,1677
17546,小清水　　　　　　　,43.842,144.485,52,30,309,281,296,189,36,1,0,0,0,45,210,298,1664
17561,斜里　　　　　　　　,43.885,144.7,15,30,308,282,302,205,37,1,0,0,0,44,206,300,1686
17596,留辺蘂　　　　　　　,43.742,143.45,325,30,309,283,308,226,51,1,0,0,1,84,255,307,1825
17607,境野　　　　　　　　,43.707,143.643,184,30,310,282,305,210,38,1,0,0,1,71,245,306,1770
17631,美幌　　　　　　　　,43.77,144.172,60,30,309,281,302,210,42,2,0,0,0,72,241,304,1763
17717,津別　　　　　　　　,43.702,144.033,100,30,310,282,303,205,34,1,0,0,0,71,237,306,1752
18038,羅臼　　　　　　　　,44.023,145.187,15,16,308,283,295,177,15,0,0,0,0,3,129,290,1501
18136,標津　　　　　　　　,43.662,145.132,3,30,308,281,299,180,18,0,0,0,0,30,188,292,1595
18161,上標津　　　　　　　,43.52,144.747,160,18,310,283,304,235,40,2,0,0,0,59,214,304,1750
18171,中標津　　　　　　　,43.543,144.978,50,30,307,282,299,212,35,0,0,0,1,59,227,300,1723
18174,根室中標津　　　　　,43.577,144.96,65,18,309,283,301,242,59,4,0,0,0,91,241,302,1831
18256,別海　　　　　　　　,43.382,145.118,23,30,309,282,301,221,51,2,0,0,1,84,235,300,1786
18273,根室　　　　　　　　,43.33,145.585,25,30,304,281,283,124,5,0,0,0,0,0,77,271,1345
18281,納沙布　　　　　　　,43.393,145.758,12,30,302,280,293,150,8,0,0,0,0,0,73,265,1371
18311,厚床　　　　　　　　,43.222,145.227,41,30,309,282,296,205,41,2,0,0,0,60,213,298,1709
19021,川湯　　　　　　　　,43.617,144.457,158,30,310,282,305,253,80,6,0,0,6,126,255,305,1920
19051,弟子屈　　　　　　　,43.51,144.467,170,30,310,282,306,235,52,1,0,0,1,71,234,305,1797
