番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
17596,留辺蘂　　　　　　　,43.742,143.45,325,30,29,19,18,10,1,0,0,0,0,1,10,22,39
17717,津別　　　　　　　　,43.702,144.033,100,30,27,19,17,11,1,0,0,0,0,0,6,25,35
18038,羅臼　　　　　　　　,44.023,145.187,15,16,25,27,21,11,1,0,0,0,0,0,11,23,38
18171,中標津　　　　　　　,43.543,144.978,50,30,20,19,21,11,1,0,0,0,0,0,5,18,31
18174,根室中標津　　　　　,43.577,144.96,65,15,19,23,18,11,0,0,0,0,0,0,5,18,32
18256,別海　　　　　　　　,43.382,145.118,23,30,18,17,19,10,0,0,0,0,0,0,5,17,30
18273,根室　　　　　　　　,43.33,145.585,25,30,13,14,12,8,0,0,0,0,0,0,2,12,22
18311,厚床　　　　　　　　,43.222,145.227,41,30,17,18,16,11,1,0,0,0,0,0,3,16,27
19021,川湯　　　　　　　　,43.617,144.457,158,30,26,21,18,14,2,0,0,0,0,1,7,25,36
19076,阿寒湖畔　　　　　　,43.437,144.083,426,30,31,23,23,14,2,0,0,0,0,1,10,26,42
19151,標茶　　　　　　　　,43.292,144.587,20,30,19,16,17,8,0,0,0,0,0,0,4,18,29
19191,鶴居　　　　　　　　,43.232,144.325,38,30,19,17,17,7,0,0,0,0,0,0,4,15,28
19261,中徹別　　　　　　　,43.198,144.142,80,30,24,19,19,6,0,0,0,0,0,0,4,17,33
19376,太田　　　　　　　　,43.09,144.778,85,30,22,17,19,12,0,0,0,0,0,0,4,20,34
19416,白糠　　　　　　　　,42.97,144.062,9,30,18,16,17,5,0,0,0,0,0,0,4,15,28
19432,釧路　　　　　　　　,42.985,144.377,5,30,14,12,13,5,0,0,0,0,0,0,3,13,23
20146,陸別　　　　　　　　,43.472,143.753,210,30,24,16,15,9,1,0,0,0,0,1,7,20,31
20186,ぬかびら源泉郷　　　,43.367,143.192,540,30,25,20,20,14,2,0,0,0,0,1,13,23,36
20266,上士幌　　　　　　　,43.242,143.295,287,30,18,16,14,7,1,0,0,0,0,0,8,15,27
20341,本別　　　　　　　　,43.132,143.6,67,30,17,13,12,6,1,0,0,0,0,0,6,17,27
20356,新得　　　　　　　　,43.077,142.84,178,30,25,21,23,9,1,0,0,0,0,1,10,22,38
20421,芽室　　　　　　　　,42.9,143.043,90,30,28,20,20,9,1,0,0,0,0,0,8,22,39
20432,帯広　　　　　　　　,42.922,143.212,38,30,25,16,17,6,1,0,0,0,0,0,6,22,38
20506,浦幌　　　　　　　　,42.808,143.657,20,30,19,17,13,5,1,0,0,0,0,0,4,17,29
20551,帯広泉　　　　　　　,42.733,143.217,149,15,26,24,19,15,1,0,0,0,0,2,8,25,41
20601,上札内　　　　　　　,42.642,143.097,251,30,34,28,28,16,2,0,0,0,0,1,12,28,48
20696,大樹　　　　　　　　,42.5,143.273,87,30,30,27,25,13,1,0,0,0,0,0,7,27,43
20751,広尾　　　　　　　　,42.293,143.317,32,30,31,27,24,10,1,0,0,0,0,0,3,23,45
21031,安平　　　　　　　　,42.815,141.828,33,30,21,18,14,3,0,0,0,0,0,0,8,18,27
21126,穂別　　　　　　　　,42.762,142.143,56,30,18,14,13,3,0,0,0,0,0,0,7,18,23
21161,大滝　　　　　　　　,42.67,141.078,390,30,26,23,22,10,1,0,0,0,0,2,18,24,31
21187,苫小牧　　　　　　　,42.623,141.547,6,30,14,14,9,1,0,0,0,0,0,0,3,11,20
21226,大岸　　　　　　　　,42.59,140.643,4,30,21,19,16,3,0,0,0,0,0,0,13,20,25
21261,白老　　　　　　　　,42.543,141.352,6,30,13,13,10,2,0,0,0,0,0,0,2,10,18
21312,登別　　　　　　　　,42.458,141.118,197,30,21,19,19,7,0,0,0,0,0,0,5,14,28
21323,室蘭　　　　　　　　,42.312,140.975,40,30,13,12,9,3,0,0,0,0,0,0,3,8,17
22036,日高　　　　　　　　,42.877,142.442,280,30,24,17,16,7,0,0,0,0,0,0,10,21,29
22106,旭　　　　　　　　　,42.628,142.393,245,17,14,12,16,2,0,0,0,0,0,0,4,15,21
22241,静内　　　　　　　　,42.343,142.362,10,30,10,11,9,3,0,0,0,0,0,0,2,8,14
22306,中杵臼　　　　　　　,42.223,142.948,98,30,19,19,14,4,0,0,0,0,0,0,6,15,24
22327,浦河　　　　　　　　,42.162,142.777,37,30,11,11,9,1,0,0,0,0,0,0,3,9,16
22356,目黒　　　　　　　　,42.128,143.312,7,30,27,27,26,8,0,0,0,0,0,0,4,22,42
23031,長万部　　　　　　　,42.517,140.373,6,30,20,20,15,3,0,0,0,0,0,0,9,19,25
23086,八雲　　　　　　　　,42.252,140.272,8,30,20,20,16,3,0,0,0,0,0,0,12,21,26
23191,大沼　　　　　　　　,41.977,140.715,165,30,23,20,17,5,0,0,0,0,0,0,8,20,32
23232,函館　　　　　　　　,41.817,140.753,35,30,18,16,12,2,0,0,0,0,0,0,9,18,24
23281,高松　　　　　　　　,41.77,140.822,34,15,13,12,9,1,0,0,0,0,0,0,6,12,18
23356,千軒　　　　　　　　,41.558,140.272,100,30,25,25,23,8,0,0,0,0,0,0,10,22,32
