番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,7,5,4,0,0,0,0,0,0,0,3,8,27
11061,声問　　　　　　　　,45.403,141.802,8,15,9,4,3,0,0,0,0,0,0,0,5,9,29
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,14,9,7,0,0,0,0,0,0,0,4,18,52
11121,沼川　　　　　　　　,45.248,141.852,23,30,13,8,3,1,0,0,0,0,0,0,5,17,47
11176,豊富　　　　　　　　,45.102,141.78,14,30,11,7,4,0,0,0,0,0,0,0,3,12,37
11276,中頓別　　　　　　　,44.965,142.28,25,30,21,16,10,1,0,0,0,0,0,0,9,24,79
11291,北見枝幸　　　　　　,44.94,142.585,7,30,10,7,5,2,0,0,0,0,0,0,4,9,37
11316,歌登　　　　　　　　,44.842,142.48,14,30,16,11,10,1,0,0,0,0,0,0,15,24,75
12041,音威子府　　　　　　,44.727,142.265,40,30,38,17,13,1,0,0,0,0,0,0,16,49,133
12141,美深　　　　　　　　,44.48,142.342,77,30,14,9,6,0,0,0,0,0,0,0,13,22,63
12181,名寄　　　　　　　　,44.37,142.457,89,30,14,6,5,0,0,0,0,0,0,0,10,16,54
12231,下川　　　　　　　　,44.295,142.637,143,30,14,10,7,0,0,0,0,0,0,0,7,16,57
12301,和寒　　　　　　　　,44.028,142.41,150,30,7,4,5,0,0,0,0,0,0,0,11,15,44
12411,上川　　　　　　　　,43.847,142.753,324,30,9,7,6,1,0,0,0,0,0,0,7,13,42
12442,旭川　　　　　　　　,43.757,142.372,120,30,5,3,5,0,0,0,0,0,0,0,8,11,32
12471,層雲峡　　　　　　　,43.753,142.93,540,30,18,15,11,4,0,0,0,0,0,0,15,22,86
12501,東神楽　　　　　　　,43.67,142.447,211,15,1,1,3,0,0,0,0,0,0,0,3,3,11
12551,美瑛　　　　　　　　,43.588,142.493,250,30,6,4,5,1,0,0,0,0,0,0,7,8,27
12626,富良野　　　　　　　,43.333,142.4,174,30,4,2,3,0,0,0,0,0,0,0,6,8,24
12691,幾寅　　　　　　　　,43.168,142.568,350,30,5,4,4,1,0,0,0,0,0,1,4,8,28
12746,占冠　　　　　　　　,42.978,142.395,332,30,8,5,5,1,0,0,0,0,0,0,4,8,32
13121,初山別　　　　　　　,44.523,141.77,27,30,10,9,2,0,0,0,0,0,0,0,3,12,36
13181,羽幌　　　　　　　　,44.363,141.7,8,30,11,6,3,0,0,0,0,0,0,0,3,13,34
13206,古丹別　　　　　　　,44.265,141.722,15,30,12,6,3,0,0,0,0,0,0,0,2,17,41
13277,留萌　　　　　　　　,43.945,141.632,24,30,16,8,4,0,0,0,0,0,0,0,3,12,41
14071,厚田　　　　　　　　,43.397,141.437,5,30,21,17,5,0,0,0,0,0,0,0,5,12,57
14101,新篠津　　　　　　　,43.22,141.645,9,30,24,14,2,0,0,0,0,0,0,0,9,30,75
14121,石狩　　　　　　　　,43.193,141.37,5,30,17,9,5,0,0,0,0,0,0,0,1,12,45
14163,札幌　　　　　　　　,43.06,141.328,17,30,13,10,3,0,0,0,0,0,0,0,3,12,42
14191,小金湯　　　　　　　,42.963,141.217,230,30,21,14,10,0,0,0,0,0,0,0,7,19,72
14206,恵庭島松　　　　　　,42.927,141.565,30,30,10,9,4,0,0,0,0,0,0,0,1,10,34
14296,千歳　　　　　　　　,42.775,141.692,22,15,4,2,1,0,0,0,0,0,0,0,0,3,11
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,35,26,16,2,0,0,0,0,0,1,29,55,161
15076,幌加内　　　　　　　,44.01,142.16,159,30,39,29,17,1,0,0,0,0,0,0,30,55,173
15161,深川　　　　　　　　,43.718,142.073,55,30,20,13,9,0,0,0,0,0,0,0,10,28,80
15241,滝川　　　　　　　　,43.57,141.938,50,30,16,11,5,0,0,0,0,0,0,0,11,23,68
15251,芦別　　　　　　　　,43.52,142.19,91,30,8,9,4,0,0,0,0,0,0,0,7,15,43
15321,美唄　　　　　　　　,43.363,141.827,16,30,19,10,4,0,0,0,0,0,0,0,9,23,66
15356,岩見沢　　　　　　　,43.212,141.785,42,30,22,12,3,0,0,0,0,0,0,0,9,28,73
15442,夕張　　　　　　　　,43.038,141.957,293,30,30,19,8,0,0,0,0,0,0,0,12,36,101
16076,余市　　　　　　　　,43.182,140.758,20,30,25,17,5,0,0,0,0,0,0,0,3,20,70
16091,小樽　　　　　　　　,43.182,141.015,25,30,12,10,4,0,0,0,0,0,0,0,2,13,42
16126,赤井川　　　　　　　,43.083,140.82,148,30,29,22,10,0,0,0,0,0,0,0,7,26,95
16156,共和　　　　　　　　,42.98,140.603,15,30,18,10,2,0,0,0,0,0,0,0,3,18,51
16206,蘭越　　　　　　　　,42.81,140.542,39,30,19,12,2,0,0,0,0,0,0,0,3,15,51
16217,倶知安　　　　　　　,42.9,140.757,176,30,33,18,10,0,0,0,0,0,0,0,12,38,110
16252,寿都　　　　　　　　,42.795,140.223,33,30,8,7,1,0,0,0,0,0,0,0,0,4,20
16286,喜茂別　　　　　　　,42.793,140.948,264,30,21,12,7,0,0,0,0,0,0,0,11,29,81
16321,黒松内　　　　　　　,42.663,140.31,27,30,24,18,5,0,0,0,0,0,0,0,3,14,64
17036,雄武　　　　　　　　,44.58,142.963,14,30,4,6,4,1,0,0,0,0,0,0,2,4,21
17091,西興部　　　　　　　,44.332,142.935,120,30,13,10,7,1,0,0,0,0,0,0,3,8,40
17112,紋別　　　　　　　　,44.345,143.355,16,30,4,5,4,1,0,0,0,0,0,0,1,4,20
17116,紋別小向　　　　　　,44.303,143.403,18,13,5,8,4,3,0,0,0,0,0,0,2,7,28
17196,滝上　　　　　　　　,44.177,143.062,165,30,15,10,7,1,0,0,0,0,0,0,3,12,48
17306,遠軽　　　　　　　　,44.053,143.54,80,30,14,11,6,1,0,0,0,0,0,0,2,10,44
17316,佐呂間　　　　　　　,44.018,143.76,54,30,11,10,5,1,0,0,0,0,0,0,1,9,36
17341,網走　　　　　　　　,44.017,144.278,38,30,5,4,3,1,0,0,0,0,0,0,0,4,18
17351,宇登呂　　　　　　　,44.052,144.982,144,30,11,12,9,3,0,0,0,0,0,0,2,8,46
17482,白滝　　　　　　　　,43.865,143.153,475,28,10,5,6,1,0,0,0,0,0,0,3,9,35
17521,北見　　　　　　　　,43.777,143.842,104,30,9,4,5,2,0,0,0,0,0,0,0,7,27
17531,女満別　　　　　　　,43.88,144.163,33,15,6,5,3,2,0,0,0,0,0,0,1,5,23
17561,斜里　　　　　　　　,43.885,144.7,15,30,13,12,7,2,0,0,0,0,0,0,1,6,40
17596,留辺蘂　　　　　　　,43.742,143.45,325,30,11,4,4,1,0,0,0,0,0,0,2,8,30
17717,津別　　　　　　　　,43.702,144.033,100,30,13,6,4,2,0,0,0,0,0,0,1,10,36
18038,羅臼　　　　　　　　,44.023,145.187,15,16,11,11,7,2,0,0,0,0,0,0,1,8,40
18171,中標津　　　　　　　,43.543,144.978,50,30,8,5,6,2,0,0,0,0,0,0,0,4,25
18174,根室中標津　　　　　,43.577,144.96,65,15,6,8,4,1,0,0,0,0,0,0,1,3,24
18256,別海　　　　　　　　,43.382,145.118,23,30,3,5,5,1,0,0,0,0,0,0,0,4,19
18273,根室　　　　　　　　,43.33,145.585,25,30,1,3,1,1,0,0,0,0,0,0,0,2,8
18311,厚床　　　　　　　　,43.222,145.227,41,30,3,3,3,1,0,0,0,0,0,0,0,2,13
19021,川湯　　　　　　　　,43.617,144.457,158,30,10,9,6,3,0,0,0,0,0,0,0,7,34
19076,阿寒湖畔　　　　　　,43.437,144.083,426,30,15,7,6,2,0,0,0,0,0,0,2,9,41
