番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,250,262,221,20,0,0,0,0,0,0,11,124,888
11061,声問　　　　　　　　,45.403,141.802,8,15,226,243,224,16,0,0,0,0,0,0,9,110,833
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,284,280,268,26,0,0,0,0,0,0,24,176,1049
11121,沼川　　　　　　　　,45.248,141.852,23,30,309,283,300,89,0,0,0,0,0,0,19,224,1221
11176,豊富　　　　　　　　,45.102,141.78,14,30,302,283,283,43,0,0,0,0,0,0,12,172,1086
11276,中頓別　　　　　　　,44.965,142.28,25,30,310,283,310,150,1,0,0,0,0,0,33,255,1334
11291,北見枝幸　　　　　　,44.94,142.585,7,30,310,283,305,87,0,0,0,0,0,0,23,211,1216
11316,歌登　　　　　　　　,44.842,142.48,14,30,310,281,310,176,4,0,0,0,0,0,51,267,1395
12041,音威子府　　　　　　,44.727,142.265,40,30,310,283,310,244,9,0,0,0,0,0,70,287,1509
12141,美深　　　　　　　　,44.48,142.342,77,30,309,283,310,152,0,0,0,0,0,0,61,286,1399
12181,名寄　　　　　　　　,44.37,142.457,89,30,310,282,306,108,0,0,0,0,0,0,54,270,1325
12231,下川　　　　　　　　,44.295,142.637,143,30,310,283,306,146,0,0,0,0,0,0,35,231,1310
12301,和寒　　　　　　　　,44.028,142.41,150,30,310,283,304,87,0,0,0,0,0,0,50,254,1283
12411,上川　　　　　　　　,43.847,142.753,324,30,310,283,307,93,0,0,0,0,0,0,39,247,1279
12442,旭川　　　　　　　　,43.757,142.372,120,30,308,283,285,52,0,0,0,0,0,0,35,227,1187
12471,層雲峡　　　　　　　,43.753,142.93,540,30,310,283,310,226,8,0,0,0,0,1,81,285,1497
12501,東神楽　　　　　　　,43.67,142.447,211,15,289,273,226,14,0,0,0,0,0,0,17,126,944
12551,美瑛　　　　　　　　,43.588,142.493,250,30,308,281,294,53,0,0,0,0,0,0,25,202,1153
12626,富良野　　　　　　　,43.333,142.4,174,30,301,283,278,30,0,0,0,0,0,0,23,191,1093
12691,幾寅　　　　　　　　,43.168,142.568,350,30,305,283,292,68,0,0,0,0,0,0,14,180,1145
12746,占冠　　　　　　　　,42.978,142.395,332,30,299,283,302,96,0,0,0,0,0,0,13,185,1175
13121,初山別　　　　　　　,44.523,141.77,27,30,289,278,242,18,0,0,0,0,0,0,13,160,1027
13181,羽幌　　　　　　　　,44.363,141.7,8,30,298,278,271,34,0,0,0,0,0,0,13,186,1075
13206,古丹別　　　　　　　,44.265,141.722,15,30,306,281,302,92,0,0,0,0,0,0,10,202,1208
13277,留萌　　　　　　　　,43.945,141.632,24,30,285,276,241,18,0,0,0,0,0,0,7,126,947
14071,厚田　　　　　　　　,43.397,141.437,5,30,303,282,290,57,0,0,0,0,0,0,19,192,1122
14101,新篠津　　　　　　　,43.22,141.645,9,30,307,283,294,62,0,0,0,0,0,0,27,219,1181
14121,石狩　　　　　　　　,43.193,141.37,5,30,297,283,298,61,0,0,0,0,0,0,3,152,1083
14163,札幌　　　　　　　　,43.06,141.328,17,30,295,283,268,27,0,0,0,0,0,0,8,126,1009
14191,小金湯　　　　　　　,42.963,141.217,230,30,308,283,307,118,0,0,0,0,0,1,23,203,1240
14206,恵庭島松　　　　　　,42.927,141.565,30,30,275,283,255,15,0,0,0,0,0,0,3,93,912
14296,千歳　　　　　　　　,42.775,141.692,22,15,189,247,138,0,0,0,0,0,0,0,1,39,617
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,310,283,310,285,64,0,0,0,0,2,116,304,1664
15076,幌加内　　　　　　　,44.01,142.16,159,30,310,283,310,238,17,0,0,0,0,0,96,301,1547
15161,深川　　　　　　　　,43.718,142.073,55,30,308,283,296,70,0,0,0,0,0,0,34,224,1212
15241,滝川　　　　　　　　,43.57,141.938,50,30,309,283,300,76,0,0,0,0,0,0,38,243,1237
15251,芦別　　　　　　　　,43.52,142.19,91,30,297,278,265,31,0,0,0,0,0,0,20,185,1070
15321,美唄　　　　　　　　,43.363,141.827,16,30,298,283,287,54,0,0,0,0,0,0,33,223,1168
15356,岩見沢　　　　　　　,43.212,141.785,42,30,299,283,281,48,0,0,0,0,0,0,31,214,1146
15442,夕張　　　　　　　　,43.038,141.957,293,30,306,283,305,125,0,0,0,0,0,0,33,220,1263
16076,余市　　　　　　　　,43.182,140.758,20,30,301,282,296,82,0,0,0,0,0,0,9,183,1150
16091,小樽　　　　　　　　,43.182,141.015,25,30,305,283,293,60,0,0,0,0,0,0,11,181,1133
16126,赤井川　　　　　　　,43.083,140.82,148,30,308,283,306,159,1,0,0,0,0,0,23,236,1314
16156,共和　　　　　　　　,42.98,140.603,15,30,293,275,240,24,0,0,0,0,0,0,12,163,1009
16206,蘭越　　　　　　　　,42.81,140.542,39,30,306,283,299,68,0,0,0,0,0,0,16,198,1165
16217,倶知安　　　　　　　,42.9,140.757,176,30,310,283,310,151,0,0,0,0,0,0,59,263,1370
16252,寿都　　　　　　　　,42.795,140.223,33,30,239,267,189,7,0,0,0,0,0,0,0,76,777
16286,喜茂別　　　　　　　,42.793,140.948,264,30,310,283,310,172,0,0,0,0,0,0,40,250,1362
16321,黒松内　　　　　　　,42.663,140.31,27,30,306,283,294,59,0,0,0,0,0,0,12,176,1124
17036,雄武　　　　　　　　,44.58,142.963,14,30,286,281,265,30,0,0,0,0,0,0,6,118,981
17091,西興部　　　　　　　,44.332,142.935,120,30,286,283,303,88,0,0,0,0,0,0,17,174,1148
