番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,1,1,5,0,0,0,0,0,0,0,0,0,6
11061,声問　　　　　　　　,45.403,141.802,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,4,8,6,0,0,0,0,0,0,0,0,0,18
11121,沼川　　　　　　　　,45.248,141.852,23,30,50,101,72,4,0,0,0,0,0,0,1,5,233
11176,豊富　　　　　　　　,45.102,141.78,14,30,6,25,23,0,0,0,0,0,0,0,1,0,58
11276,中頓別　　　　　　　,44.965,142.28,25,30,106,169,171,19,0,0,0,0,0,0,1,17,484
11291,北見枝幸　　　　　　,44.94,142.585,7,30,21,56,52,0,0,0,0,0,0,0,0,0,129
11316,歌登　　　　　　　　,44.842,142.48,14,30,142,215,217,32,0,0,0,0,0,0,1,23,633
12041,音威子府　　　　　　,44.727,142.265,40,30,262,277,295,90,0,0,0,0,0,0,0,85,1016
12141,美深　　　　　　　　,44.48,142.342,77,30,140,203,173,18,0,0,0,0,0,0,0,18,542
12181,名寄　　　　　　　　,44.37,142.457,89,30,38,90,79,4,0,0,0,0,0,0,0,10,218
12231,下川　　　　　　　　,44.295,142.637,143,30,56,121,133,22,0,0,0,0,0,0,0,9,348
12301,和寒　　　　　　　　,44.028,142.41,150,30,15,53,64,5,0,0,0,0,0,0,0,1,140
12411,上川　　　　　　　　,43.847,142.753,324,30,1,6,12,0,0,0,0,0,0,0,0,1,23
12442,旭川　　　　　　　　,43.757,142.372,120,30,5,21,22,0,0,0,0,0,0,0,0,0,49
12471,層雲峡　　　　　　　,43.753,142.93,540,30,61,142,164,34,0,0,0,0,0,0,0,16,410
12501,東神楽　　　　　　　,43.67,142.447,211,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12551,美瑛　　　　　　　　,43.588,142.493,250,30,0,6,6,0,0,0,0,0,0,0,0,0,11
12626,富良野　　　　　　　,43.333,142.4,174,30,0,1,5,0,0,0,0,0,0,0,0,0,5
12691,幾寅　　　　　　　　,43.168,142.568,350,30,0,1,1,0,0,0,0,0,0,0,0,0,3
12746,占冠　　　　　　　　,42.978,142.395,332,30,3,10,24,1,0,0,0,0,0,0,0,0,38
13121,初山別　　　　　　　,44.523,141.77,27,30,0,6,3,0,0,0,0,0,0,0,0,0,10
13181,羽幌　　　　　　　　,44.363,141.7,8,30,24,67,27,0,0,0,0,0,0,0,0,2,123
