番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,308,282,262,35,0,0,0,0,0,0,52,236,1174
11061,声問　　　　　　　　,45.403,141.802,8,15,291,279,266,29,0,0,0,0,0,1,77,225,1171
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,308,283,292,44,0,0,0,0,0,1,84,264,1270
11121,沼川　　　　　　　　,45.248,141.852,23,30,310,283,307,120,0,0,0,0,0,2,84,283,1382
11176,豊富　　　　　　　　,45.102,141.78,14,30,310,283,297,69,0,0,0,0,0,1,62,264,1279
11276,中頓別　　　　　　　,44.965,142.28,25,30,310,283,310,175,3,0,0,0,0,1,94,296,1468
11291,北見枝幸　　　　　　,44.94,142.585,7,30,310,283,309,125,1,0,0,0,0,1,82,280,1390
11316,歌登　　　　　　　　,44.842,142.48,14,30,310,281,310,204,7,0,0,0,0,1,106,299,1515
12041,音威子府　　　　　　,44.727,142.265,40,30,310,283,310,259,15,0,0,0,0,2,124,300,1602
12141,美深　　　　　　　　,44.48,142.342,77,30,309,283,310,181,0,0,0,0,0,2,120,302,1513
12181,名寄　　　　　　　　,44.37,142.457,89,30,310,282,309,137,0,0,0,0,0,2,114,300,1446
12231,下川　　　　　　　　,44.295,142.637,143,30,310,283,308,170,0,0,0,0,0,3,106,292,1468
12301,和寒　　　　　　　　,44.028,142.41,150,30,310,283,308,114,0,0,0,0,0,2,107,293,1418
12411,上川　　　　　　　　,43.847,142.753,324,30,310,283,310,125,0,0,0,0,0,5,128,301,1458
12442,旭川　　　　　　　　,43.757,142.372,120,30,310,283,301,78,0,0,0,0,0,2,104,289,1364
12471,層雲峡　　　　　　　,43.753,142.93,540,30,310,283,310,248,14,0,0,0,0,13,153,305,1626
12501,東神楽　　　　　　　,43.67,142.447,211,15,310,283,281,34,0,0,0,0,0,7,88,277,1283
12551,美瑛　　　　　　　　,43.588,142.493,250,30,310,281,305,78,0,0,0,0,0,3,87,288,1347
12626,富良野　　　　　　　,43.333,142.4,174,30,309,283,294,56,0,0,0,0,0,2,93,284,1313
12691,幾寅　　　　　　　　,43.168,142.568,350,30,310,283,303,107,0,0,0,0,0,3,77,283,1360
12746,占冠　　　　　　　　,42.978,142.395,332,30,310,283,307,129,0,0,0,0,0,4,64,281,1373
13121,初山別　　　　　　　,44.523,141.77,27,30,309,283,275,33,0,0,0,0,0,0,53,246,1205
13181,羽幌　　　　　　　　,44.363,141.7,8,30,308,283,291,49,0,0,0,0,0,0,60,258,1243
13206,古丹別　　　　　　　,44.265,141.722,15,30,310,283,306,120,0,0,0,0,0,0,68,267,1360
13277,留萌　　　　　　　　,43.945,141.632,24,30,304,282,274,32,0,0,0,0,0,0,42,241,1171
14071,厚田　　　　　　　　,43.397,141.437,5,30,310,282,302,75,0,0,0,0,0,0,56,262,1272
14101,新篠津　　　　　　　,43.22,141.645,9,30,310,283,304,80,0,0,0,0,0,0,78,277,1319
14121,石狩　　　　　　　　,43.193,141.37,5,30,310,283,306,81,0,0,0,0,0,0,41,244,1254
14163,札幌　　　　　　　　,43.06,141.328,17,30,309,283,290,41,0,0,0,0,0,1,41,233,1199
14191,小金湯　　　　　　　,42.963,141.217,230,30,310,283,309,143,0,0,0,0,0,3,80,268,1398
14206,恵庭島松　　　　　　,42.927,141.565,30,30,308,283,278,30,0,0,0,0,0,0,20,201,1109
14296,千歳　　　　　　　　,42.775,141.692,22,15,294,281,189,4,0,0,0,0,0,0,16,140,934
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,310,283,310,288,79,0,0,0,0,10,173,309,1756
15076,幌加内　　　　　　　,44.01,142.16,159,30,310,283,310,252,24,0,0,0,0,4,146,305,1629
15161,深川　　　　　　　　,43.718,142.073,55,30,310,283,303,91,0,0,0,0,0,0,84,282,1352
15241,滝川　　　　　　　　,43.57,141.938,50,30,310,283,304,100,0,0,0,0,0,3,97,291,1374
15251,芦別　　　　　　　　,43.52,142.19,91,30,310,283,288,54,0,0,0,0,0,2,69,274,1273
15321,美唄　　　　　　　　,43.363,141.827,16,30,310,283,302,73,0,0,0,0,0,1,87,281,1330
15356,岩見沢　　　　　　　,43.212,141.785,42,30,310,283,295,65,0,0,0,0,0,1,85,272,1303
15442,夕張　　　　　　　　,43.038,141.957,293,30,310,283,308,153,0,0,0,0,0,4,89,281,1417
16076,余市　　　　　　　　,43.182,140.758,20,30,310,283,301,96,0,0,0,0,0,0,45,263,1299
16091,小樽　　　　　　　　,43.182,141.015,25,30,310,283,302,81,0,0,0,0,0,0,52,268,1299
16126,赤井川　　　　　　　,43.083,140.82,148,30,310,283,310,179,2,0,0,0,0,1,78,288,1450
