latex,pointlined,n,x=0_y=0,n,2,図形と方程式,点と直線の距離,s,+-,,,,3,,,,end
latex,pointlined,n,x!=0_y=0,n,2,図形と方程式,点と直線の距離,s,+-,,,,4,,,,end
latex,pointlined,n,x!=0_y!=0,n,2,図形と方程式,点と直線の距離,s,+-,,,,5,,,,end
latex,eqline,n,int,n,2,図形と方程式,直線の方程式,s,+,[+-],+-,,2,0b,4b,,end
latex,eqline,n,frac,n,2,図形と方程式,直線の方程式,s,+,[+-],+-,,3,0b,5b,,end
latex,circle,n,n,n,2,図形と方程式,円の方程式,s,+,+,+-,,1,1,4,,end
latex,log,1,i,n,2,指数・対数,対数の計算,s,+,,,,1,,,,end
latex,log,1,f,n,2,指数・対数,対数の計算,s,+,,,,2,,,,end
latex,log,1,s,n,2,指数・対数,対数の計算,s,+,,,,3,,,,end
latex,log,i,i,n,2,指数・対数,対数の計算,s,+,,,,3,,,,end
latex,log,i,f,n,2,指数・対数,対数の計算,s,+,,,,4,,,,end
latex,log,i,s,n,2,指数・対数,対数の計算,s,+,,,,5,,,,end
latex,log,f,i,n,2,指数・対数,対数の計算,s,+,,,,4,,,,end
latex,log,s,i,n,2,指数・対数,対数の計算,s,+,,,,5,,,,end
choose,inequality_ex,n,easy,n,2,指数・対数,指数の不等式,s,+,,,,1,,,,end
choose,inequality_ex,n,hard,n,2,指数・対数,指数の不等式,s,+,,,,2,,,,end
choose,inequality_log,n,easy,n,2,指数・対数,対数の不等式,s,+,,,,1,,,,end
choose,inequality_log,n,hard,n,2,指数・対数,対数の不等式,s,+,,,,2,,,,end
latex,jyoyou,n,n,n,2,指数・対数,常用対数,s,+,+-,,,1a,1a,,,end
latex,sct2,n,0<z<180,n,2,三角関数,三角関数の値,s,+,,,,2,,,,end
latex,sct2,n,180<p<360,n,2,三角関数,三角関数の値,s,+,,,,3,,,,end
latex,sct2,n,-360<p<0,n,2,三角関数,三角関数の値,s,+,,,,3,,,,end
latex,sct2,n,360<p<720,n,2,三角関数,三角関数の値,s,+,,,,4,,,,end
latex,sct2,n,-720<p<-360,n,2,三角関数,三角関数の値,s,+,,,,5,,,,end
choose,inequality_t2,easy,n,n,2,三角関数,三角関数の不等式,s,+,,,,3,,,,end
choose,inequality_t2,hard,n,n,2,三角関数,三角関数の不等式,s,+,,,,3,,,,end
choose,inequality_t2,tan,n,n,2,三角関数,三角関数の不等式,s,+,,,,4,,,,end
